w,w_part_of_speech,w_romaji,w_meaning,s_kanji,s_hiragana,s_romaji,s_meaning
誰,dare,Interrogative,who,誰 も その 話 を 知らない 。,だれ も その はなし を しらない。,dare mo sono hanashi wo shiranai.,No one knows that story.
好き,suki,Adjectival Noun,"favorite, liked",私 は ワイン が 好き です 。,わたし は わいん が すき です。,watashi ha wain ga suki desu.,I like wine.
好き,suki,Adjectival Noun,"favorite, liked",子供 は カレーライス が 好き です 。,こども は かれーらいす が すき です。,kodomo ha kare-raisu ga suki desu.,Kids like curry and rice.
読む,yomu,Verb,read,彼女 は 雑誌 を 読んで います 。,かのじょ は ざっし を よんで います。,kanojo ha zasshi wo yonde imasu.,She's reading a magazine.
読む,yomu,Verb,read,テキスト を 読んで ください 。,てきすと を よんで ください。,tekisuto wo yonde kudasai.,Please read the textbook.
次,tsugi,Noun,next,次 は いつ 会いましょう か 。,つぎ は いつ あいましょう か。,tsugi ha itsu aimashou ka.,When shall we meet again?
次,tsugi,Noun,next,次 の 駅 で 降ります 。,つぎ の えき で おります。,tsugi no eki de orimasu.,I get off at the next station.
あなた,anata,Pronoun,you,これ は あなた の 鞄 です か 。,これ は あなた の かばん です か。,kore ha anata no kaban desu ka.,Is this your bag?
あなた,anata,Pronoun,you,あなた の 名前 を 教えて ください 。,あなた の なまえ を おしえて ください。,anata no namae wo oshiete kudasai.,Please tell me your name.
飲む,nomu,Verb,drink,友達 と お酒 を 飲んで います 。,ともだち と おさけ を のんで います。,tomodachi to osake wo nonde imasu.,I'm drinking sake with my friend.
飲む,nomu,Verb,drink,ワイン を 少し 飲みました 。,わいん を すこし のみました。,wain wo sukoshi nomimashita.,I drank a little wine.
古い,furui,Adjective,old,私 は 古い 車 が 好き です 。,わたし は ふるい くるま が すき です。,watashi ha furui kuruma ga suki desu.,I like old cars.
古い,furui,Adjective,old,あそこ に 古い お寺 が あります 。,あそこ に ふるい おてら が あります。,asoko ni furui otera ga arimasu.,There's an old temple there.
質問,shitsumon,Verbal Noun,question,質問 の ある 方 は どうぞ 。,しつもん の ある かた は どうぞ。,shitsumon no aru kata ha douzo.,Please feel free to ask any questions.
質問,shitsumon,Verbal Noun,question,質問 は 何 です か 。,しつもん は なん です か。,shitsumon ha nan desu ka.,What's your question?
今日,kyou,Noun,today (colloquial),今日 は 仕事 が ありません 。,きょう は しごと が ありません。,kyou ha shigoto ga arimasen.,I don't have work today.
今日,kyou,Noun,today (colloquial),今日 は 風 が 強い です 。,きょう は かぜ が つよい です。,kyou ha kaze ga tsuyoi desu.,The wind is strong today.
友達,tomodachi,Noun,"friend, companion (colloquial)",私 に は 友達 が たくさん います 。,わたし に は ともだち が たくさん います。,watashi ni ha tomodachi ga takusan imasu.,I have a lot of friends.
友達,tomodachi,Noun,"friend, companion (colloquial)",友達 と キャンプ に 行った 。,ともだち と きゃんぷ に いった。,tomodachi to kyanpu ni itta.,I went camping with my friend.
早い,hayai,Adjective,early,まだ 学校 へ 行く に は 早い 時間 です 。,まだ がっこう へ いく に は はやい じかん です。,mada gakkou he iku ni ha hayai jikan desu.,It's still too early to go to school.
早い,hayai,Adjective,early,朝 早い 電車 で 行きましょう。,あさ はやい でんしゃ で いきましょう。,asa hayai densha de ikimashou.,Let's take an early-morning train.
どれ,dore,Interrogative,"what, which",この 中 で どれ が 好き です か 。,この なか で どれ が すき です か。,kono naka de dore ga suki desu ka.,Which of these do you like?
どれ,dore,Interrogative,"what, which",ソース は どれ です か 。,そーす は どれ です か。,so-su ha dore desu ka.,Which one is the sauce?
美しい,utsukushii,Adjective,beautiful,この 絵 は 美しい です 。,この え は うつくしい です。,kono e ha utsukushii desu.,This picture is beautiful.
美しい,utsukushii,Adjective,beautiful,今夜 は 星 が とても 美しい。,こんや は ほし が とても うつくしい。,kon'ya ha hoshi ga totemo utsukushii.,The stars are very beautiful tonight.
いつも,itsumo,Adverb,always (colloquial),彼女 は いつも 元気 だ 。,かのじょ は いつも げんき だ。,kanojo ha itsumo genki da.,She's always full of energy.
いつも,itsumo,Adverb,always (colloquial),朝 ご飯 に は いつも パン を 食べる 。,あさ ごはん に は いつも ぱん を たべる。,asa gohan ni ha itsumo pan wo taberu.,I always eat bread for breakfast.
足,ashi,Noun,"leg, foot",彼 は 足 が 長い 。,かれ は あし が ながい。,kare ha ashi ga nagai.,He has long legs.
足,ashi,Noun,"leg, foot",彼女 は 足 が 太い 。,かのじょ は あし が ふとい。,kanojo ha ashi ga futoi.,She has fat legs.
起こす,okosu,Verb,wake (someone) up,明日 、 6 時 に 起こして ください 。,あす 6 じ に おこして ください。,asu 6 ji ni okoshite kudasai.,Please wake me up tomorrow at six o'clock.
起こす,okosu,Verb,wake (someone) up,私 は、毎朝 7 時 に 息子 を 起こします。,わたし は、まいあさ 7 じ に むすこ を おこします。,"watashi ha,maiasa 7 ji ni musuko wo okoshimasu.",Every morning I wake my son up at seven.
見せる,miseru,Verb,show,その 写真 を 見せて ください 。,その しゃしん を みせて ください。,sono shashin wo misete kudasai.,Please show me those pictures.
見せる,miseru,Verb,show,去年 の データ を 見せて ください。,きょねん の でーた を みせて ください。,kyonen no de-ta wo misete kudasai.,Please show me last year's data.
娘,musume,Noun,"daughter, girl",私 の 娘 は アメリカ に います 。,わたし の むすめ は あめりか に います。,watashi no musume ha amerika ni imasu.,My daughter is in the United States.
娘,musume,Noun,"daughter, girl",娘 が ピンク の ドレス を 着て いる 。,むすめ が ぴんく の どれす を きて いる。,musume ga pinku no doresu wo kite iru.,My daughter is wearing a pink dress.
楽しむ,tanoshimu,Verb,enjoy,今日 は 一人 の 時間 を 楽しみたい 。,きょう は ひとり の じかん を たのしみたい。,kyou ha hitori no jikan wo tanoshimitai.,Today I want to enjoy some time to myself.
楽しむ,tanoshimu,Verb,enjoy,日本 の 生活 を 楽しんで ください。,にほん の せいかつ を たのしんで ください。,nihon no seikatsu wo tanoshinde kudasai.,Please enjoy your life in Japan.
色,iro,Noun,color,すてきな 色 の セーター です ね 。,すてきな いろ の せーたー です ね。,sutekina iro no se-ta- desu ne.,I like the color of your sweater.
色,iro,Noun,color,どっち の 色 が 好き です か 。,どっち の いろ が すき です か。,docchi no iro ga suki desu ka.,Which color do you like?
みんな,minna,Noun,everybody (colloquial),みんな に お菓子 を あげましょう 。,みんな に おかし を あげましょう。,minna ni okashi wo agemashou.,Let's give everyone some sweets.
みんな,minna,Noun,everybody (colloquial),みんな に この こと を 伝えて ください 。,みんな に この こと を つたえて ください。,minna ni kono koto wo tsutaete kudasai.,Please tell everyone about this matter.
取る,toru,Verb,"take, get",テスト で いい 点 を 取った 。,てすと で いい てん を とった。,tesuto de ii ten wo totta.,I got a good score on the test.
取る,toru,Verb,"take, get",メモ を 取って ください 。,めも を とって ください。,memo wo totte kudasai.,Please take notes.
勉強,benkyou,Verbal Noun,study,私 は 日本 語 を 勉強 して います 。,わたし は にほん ご を べんきょう して います。,watashi ha nihon go wo benkyou shite imasu.,I'm studying Japanese.
勉強,benkyou,Verbal Noun,study,彼 は 今 、 勉強 して います 。,かれ は いま、べんきょう して います。,"kare ha ima,benkyou shite imasu.",He's studying now.
できる,dekiru,Verb,"can do, be good at",彼女 は イタリア 語 が できます 。,かのじょ は いたりあ ご が できます。,kanojo ha itaria go ga dekimasu.,She can speak Italian.
できる,dekiru,Verb,"can do, be good at",トラック を 運転 できます か 。,とらっく を うんてん できます か。,torakku wo unten dekimasu ka.,Can you drive a truck?
短い,mijikai,Adjective,"short, brief",彼 は 足 が 短い 。,かれ は あし が みじかい。,kare ha ashi ga mijikai.,His legs are short.
短い,mijikai,Adjective,"short, brief",この セーター は ちょっと 短い です ね。,この せーたー は ちょっと みじかい です ね。,kono se-ta- ha chotto mijikai desu ne.,This sweater is a little short.
落ちる,ochiru,Verb,"fall, come down",猿 も 木 から 落ちる 。,さる も き から おちる。,saru mo ki kara ochiru.,Even monkeys fall from trees.
落ちる,ochiru,Verb,"fall, come down",道 に 何 か 落ちて います 。,みち に なに か おちて います。,michi ni nani ka ochite imasu.,Something has fallen on the road.
息子,musuko,Noun,son,うち の 息子 は 大学 1 年生 です 。,うち の むすこ は だいがく 1 ねんせい です。,uchi no musuko ha daigaku 1 nensei desu.,My son's a college freshman.
息子,musuko,Noun,son,息子 は 中学生 です 。,むすこ は ちゅうがくせい です。,musuko ha chuugakusei desu.,My son is a junior high school student.
白い,shiroi,Adjective,"white, blank",彼 は 歯 が 白い 。,かれ は は が しろい。,kare ha ha ga shiroi.,His teeth are white.
白い,shiroi,Adjective,"white, blank",庭 に 白い ネコ が います 。,にわ に しろい ねこ が います。,niwa ni shiroi neko ga imasu.,There's a white cat in the garden.
飛行機,hikouki,Noun,airplane,息子 は 飛行機 の おもちゃ が 好き です 。,むすこ は ひこうき の おもちゃ が すき です。,musuko ha hikouki no omocha ga suki desu.,My son likes toy airplanes.
飛行機,hikouki,Noun,airplane,飛行機 が 1 時間 以上 遅れた 。,ひこうき が 1 じかん いじょう おくれた。,hikouki ga 1 jikan ijou okureta.,The plane arrived over an hour late.
病気,byouki,Noun,illness,祖父 が 病気 に なった 。,そふ が びょうき に なった。,sofu ga byouki ni natta.,My grandfather got sick.
病気,byouki,Noun,illness,彼女 は 病気 の 犬 を 助けた 。,かのじょ は びょうき の いぬ を たすけた。,kanojo ha byouki no inu wo tasuketa.,She helped a sick dog.
冬,fuyu,Noun,winter,カナダ の 冬 は とても 寒い です 。,かなだ の ふゆ は とても さむい です。,kanada no fuyu ha totemo samui desu.,Canadian winters are very cold.
冬,fuyu,Noun,winter,冬 は よく スキー に 行きます 。,ふゆ は よく すきー に いきます。,fuyu ha yoku suki- ni ikimasu.,We go skiing a lot in winter.
年,toshi,Noun,"year, age",新しい 年 が 始まりました 。,あたらしい とし が はじまりました。,atarashii toshi ga hajimarimashita.,A new year has started.
